LabelID,LabelAbrv,LabelName,ParentID,IDPath,Count,Volume(mm^3)
7,RPSV,Right Principal sensory nucleus of the trigeminal,1132.0,/997/8/343/1065/771/1132/7/,4.0,0.414
445,RSPVO,Right Spinal nucleus of the trigeminal oral part,386.0,/997/8/343/1065/354/386/445/,4.0,0.225
1041,RPFL,Right Paraflocculus,1073.0,/997/8/512/528/1073/1041/,4.0,2.141
1093,RPRNc,Right Pontine reticular nucleus caudal part,987.0,/997/8/343/1065/771/987/1093/,3.0,1.282
637,RVENT,Right Ventral group of the dorsal thalamus,864.0,/997/8/343/1129/549/864/637/,2.0,0.257
822,RRHP,Right Retrohippocampal region,1089.0,/997/8/567/688/695/1089/822/,2.0,1.39
437,RSPVI,Right Spinal nucleus of the trigeminal interpolar part,386.0,/997/8/343/1065/354/386/437/,2.0,0.541
1017,RAN,Right Ansiform lobule,1073.0,/997/8/512/528/1073/1017/,2.0,4.243
78,Rmcp,Right middle cerebellar peduncle,752.0,/997/1009/960/752/78/,2.0,0.362
1057,RGU,Right Gustatory areas,315.0,/997/8/567/688/695/315/1057/,1.0,0.273
93,RmoV,Right motor root of the trigeminal nerve,901.0,/997/1009/967/901/93/,1.0,0.022
1016,Ronl,Right olfactory nerve layer of main olfactory bulb,840.0,/997/1009/967/840/1016/,1.0,1.933
863,Rrust,Right rubrospinal tract,1000.0,/997/1009/1000/863/,1.0,0.142
136,RIRN,Right Intermediate reticular nucleus,370.0,/997/8/343/1065/354/370/136/,1.0,1.106
776,Rcc,Right corpus callosum,983.0,/997/1009/983/776/,1.0,3.706
153,RV4r,Right lateral recess,145.0,/997/73/145/153/,1.0,0.305
621,RV,Right Motor nucleus of trigeminal,987.0,/997/8/343/1065/771/987/621/,1.0,0.123
541,RTEa,Right Temporal association areas,315.0,/997/8/567/688/695/315/541/,1.0,0.096
125,Ropt,Right optic tract,848.0,/997/1009/967/848/125/,1.0,0.318
159,RAON,Right Anterior olfactory nucleus,698.0,/997/8/567/688/695/698/159/,1.0,1.568
607,RCN,Right Cochlear nuclei,386.0,/997/8/343/1065/354/386/607/,1.0,0.309
